summaries|pros|cons|adviceMgmt|ratings
Great Culture|Everyone is easygoing and the environment is generally fun.|Not everyone enjoys working in a loud/outspoken environment||5.0
One of the best company to work for|Amazing benefits, people, management, union|parking lot is always full|none|5.0
Outpatient Psychotherapist|good pay, benefits, management, growth|documentation demands are too much, shows/no shows accounatbility|increase inclusiveness, review current demands for clinical one on one percentage|5.0
Physician|Great benefitsGood starting salaryGreat communication with specialists|Minimal flexibilityNo rvu productionHave to work one weekend day per month||5.0
Supervisor|Excellent career path. Training availability.|None to speak of. Great place to work.||4.0
review as a data analyst|Work-life balance is good, good benefit|Not so much self growth||5.0
A Great Company to work for.|It is a huge company. There are many opportunities or moving around within the company. There are many functional group/ departments, you will definitely find one you feel comfortable to work in.|The company is under a labor union environment. There is a strong union control over the decision making process. It is also a government like working environment. Hence, employee performance is not measured on his/her true competence.||5.0
Team Manager|Health insurance was amazing and didn't cost much for employees.|Responsibilities were expanded without compensation||4.0
great place to work|meeting new people every day|nothing to say at all|none|5.0
Best healthcare company!|Unlimited career ladder and excellent work environment that focuses on its its members and employees|It’s constantly busy but that’s standard for healthcare companies today|Keep on growing but keep the foundation of treating employees well to continue thriving care to the members!|5.0
Appt clerk|Benefits are pretty great, able to grow.|Position cut downs, departments shutting down.||5.0
Cost Analyst|Benefits, culture, values employees, ptos|I don't have any, love working for KP||4.0
Fast paced, must be on your toes|Smart coworkers, fast paced, great pay.|Cutthroat, the union members will have you fired for just looking at them the wrong way. You can't trust anyone. No real connection.||4.0
APRN|Top of the market pay rate; robust EHR; & generous benefits|Labor union; low standard nurses; lenient HR policies|Strictly enforce nursing standards and scope of practice|4.0
imaging Tech|company, coworkers, hours, pay|seniority matters most and is used for OT Scheduling ect||5.0
Define Benefits Consultant|Room for growth and development|May not be in your department and it can be hard to advance if the hiring manager have candidates in their own department preferred||5.0
Great Place|Great pay and benefits! Can move around different departments|Being a union shop, it would be better without.||4.0
Staff Nurse II|Great benefits and salary, but comparable to those in the area.|Management is more concerned with how the numbers look than actual patient care. It is a corporation all about money, and as an employee, I often don't feel respected or heard.||3.0
KP is definitely one of the best employers out here!|The pay is amazing, no company in my area can compare. You can easily make 50k to 100k with no degree by working overtime in the KP call centers. They offer work from home positions! The benefits are OUT OF THIS WORLD, except there’s no PPO option so you have to have KP insurance. Oh and you get tuition reimbursement along with education hours to use when you have to go to school.|When you’re ready to move on from any department it’s all seniority based so make sure you have years under your belt otherwise you won’t make the cut. The call centers are stressful. Your schedule will never change EVER!|Find better incentives for employees when trying to improve work morale and attendance. You all give us donuts and pizza for coming to work but advertise healthy living.|4.0
Actual work/life balance|Managerial support of work / life balance, career progression and education / training allowance. Great health benefits, as you would expect, but also, a PTO cash out program, parental health benefit options, and employee discounts / tickets concierge.|More often than not, I've seen careers advance because of internal job applications, not because of promotions.||5.0
LVN|Love the benefits for my family|None right now for management|None right now|5.0
Mixed bag|Good benefits and flexibility, close to free healthcare|Hypocritical leadership, not lot of transparency, don't practice what they preachOutdated processes and practices||2.0
Management|Benefits are second to none|Union Environment, Hands Constantly Tied|Manage out poor performing employee's, managers and directors. Stop the incessant turnover in leadership in some departments. I have observed four leadership changes in one department in three years. Focus on strong, competent leaders and they will stay.|4.0
HR @ KP|Great pay and benefits. Great organizational mission.I was given several opportunities within the organization that I worked, but was challenged to move to a different part of the organization.|Organization is siloed, which makes it difficult to move to different divisions within the organization.HR organization is going through a transformation, which is causing anxt.|Break down organizational silos. Provide better coaching and development opportunities to facilitate growth. For example, provide exposure to labor relations to open opportunities to move to support the care delivery organization.|3.0
Great culture|Benefits and general atmosphere|Nothing to complain about here||5.0
Manager|Career opportunities for a RN|Member access to appts for Specialty Care||4.0
Wonderful!|Team work, job security, Beni fits and decent pay. Every facility I’ve been to has been clean and well kept. Kaiser also seems to keep current with cutting age technology. Computerized charting in addition is constantly improving with upgrades.|Staffing issues can be a concern at times. We need to hire more young new nurses with training programs geared toward novices nurses.||5.0
Administrator|Great benefits; training for leaders; growth of Region; potential future career growth; Nationally recognized CEO|Not an environment to Speak Up as of yet. What goes for one may not apply to all.|Be fair and consistent. Hold everyone accountable especially leadership.|4.0
environment|great people, friendly, fast paced|not that clean, salary dropped||3.0
Mac Donald's as a dispatcher|The salary , the environment, the benefits, the opportunity to enjoy with a good team work and to enjoy the experience of become and learn about the job.|To grow as a person withThe experience of a great hospital, and learn to know every day different people and apply psychology skills.|To give an opportunity to people like me, to begin in the field.|5.0
RN|Excellent pay and benefits. Employment availability. Flexibility to transfer to other departments or out of immediate area to remain in Kaiser system. Integrated records management (Health Connect ). Providing excellent patient care and insuring patient satisfaction is key. Utilization of the Continuum of Care.|Shortened acute care/SNF stays. As with any large HMO, statistics and metrics are key to success, but can create conflict to nurses with the goal of providing the best patient care possible.|Put patient care first.|5.0
Great organization, benefits and mission|benefits, mission, community focus, partnership with doctors and quality of medical care|ACA has caused some challenges. Can at time be working very long hours||5.0
The best ever!|Benefits, compensation, BENEFITS!! I’m not sure if there’s any other healthcare company that can beat Kaiser Permanente. Working here has been amazing to say the least. It’s a very stable place to work if you have good work ethics.|So far, I don’t have any cons about the company. Every position is different so that might differ but other than that, there’s not much to complain about.||5.0
Program Manager|Great organization with tremendous opportunity|Very large, lots of infrastructure to learn||5.0
Administrative Fellow|opportunities for growth, challenging work, company name recognition|very large and bureaucratic||5.0
Great company to advance with!|Reliable company that looks out for the wellbeing of their customers as well as their employers.|Working in the medical field can be overwhelming at times with non stop work.||5.0
Highest pay and best benefit|Good benefit and high pay.|Hard to get a day off especially when you're not the senior in the unit.|San Diego's standard of living has gone up, a raise would be beneficial in response to a rising cost.|5.0
Great work-life balance!|Amazing mission and great healthcare.|Poor maternity leave policy - doesn’t pay anything beyond what the state pays|As a healthcare company, you really need to re-evaluate your parental leave policies. What you have currently is not competitive at all - that’s one of the reasons why you’re not attracting millennial talent.|4.0
Integrated service|Great integrated service which leads to lower cost|Customer Care sometimes takes a back sit in favor of union-labor issues.||4.0
new|health, dental, vision insurance, 401B|bad work /life balance, it is not easy to move around to different departments.|be personable, be approachable|3.0
cls|great pay great benefits union|short staffed often work many sections very busy|hire more schedule more|5.0
ok place to work|good pay and good benefits|contrary to policy, managers of all departments definately play favorites. unions play favorites. if you do have to work overtime, they illegally cut your pay because overtime is not allowed. culture and values are in word only, not actions. no set schedule, always changing, even if a set schedule gets agreed on.|upper management needs to watch what middle management does. get there heads out of the sand. losing customers due to so many lies at sign up.|3.0
Registered Nurse|Regular work schedule, diversity driven.|Can be difficult to get into KP|Hang in there. Use you Emotional Intelligence strategies to lead, not manage, nor micromanage.|3.0
Project Manager|Great company to work for. Great Benefits. Salary is great.|Can get to be a little tricky getting through the red tape.|Hire within first|5.0
Senior physical therapist|Best benefits and good pay|they aren't in every state||5.0
Patient Care Technician|Love the work environment. I have an excellent team of nurses I work with, who support one another and share the work load equally.|Equipment. We tend to have equipment down in engineering for long periods of time. I wish that there was a more expedited process or priority for surgery gurneys for repairs.||4.0
Sr. Consultant|Great employer to work for|none at this time .||5.0
Great place to work|Work life balance. Making a difference in the community.|There's a high turnover rate and only way to get promoted is to switch teams.||5.0
Kaiser NP|Excellent pay and benefits compared to surrounding area|Managers are not held in check by company, union has to get involved frequently for what should be minor issues.||3.0
Great benefits|High pay compared to local average. Very good health insurance and retirement plan|Hard to ask for days off.|Due to high cost of living in San Diego, there's should also be corresponding increase in salary for Kaiser employees.|5.0
Great Company|They do a good job at making sure you feel appreciated.|Managers seem stressed out at times, they go to so many mandatory meetings, that leaves little time to manage their departments.||5.0
Best Employer|They offer some of the best compensations and benefits in all of healthcare! You feel appreciated unlike other places. These things make employees happier at work|Can't think of any. I'm so grateful to be with them. No company is perfect but I feel like they want to make the employees happy.||5.0
Great company|Great company to work with.|Great environment to work with but mostly on contract|Improve on employee well fare programs|4.0
Great place|Great place to be !|None that I can think of||5.0
Operations Director|The Salary and benefits are above industry standards|Fear driven, reactionary and|Trust the management staff|2.0
Admin Specialist|Good pay and benefits|High demand on the job with a lack of the proper resources to meet job requirements.|Management need to be in Better communication with subordinates to create team building and better job moral|3.0
God is Good, I love it here.|Kaiser Permanente has Great benefits and pay.|I don't have any so far.||5.0
Kaiser Colorado|Supportive work environment, staff really care about the members and patients, working hard to improve service|Some employees who’ve been there for decades who aren’t competent||4.0
Great benefits, better than other similar businesses. Needs better direction locally.|The benefits: health insurance, dental, 401k, possible pension. The pay is higher than average. People can still get vacations here at the moment.|Direction the company is heading. Cutting hours because of budget concerns while still taking in a massive profit is going to hurt employees, but even more so, the patients.|Listen to your frontline employees. They are the ones struggling the most. Skeleton schedules are hurting service.|3.0
Intern|Amazing learning opportunities and networking events|No cons at this time||5.0
Working at KP|Amazing health care benefits and vacation time.|Behind the times, very conservative organization.||4.0
Inpatient Case Manager|Excellent Customer Service. Supportive Management!|There are no downsides to working at Kaiser!|Continue the Excellent Customer Service|5.0
Awesome|Awesome job to have and awesome hours|no cons so far i love it|none|5.0
Intern|Great work environment. Friendly staff.|A lot of barriers to make changes.|Work to remove barriers to make change easier.|5.0
Outpatient Pharmacist|Pharmacies are always well staffed to handle work load.|Worked On-call. No hours guaranteed and no benefits||5.0
Administrative Assistant - Time Keeper/Scheduler|Flexible schedules, great benefits, and they are really good with team activities.|The parking, from the bus to the building is really dark in the mornings.||5.0
great overall company|Great benefits. medical top notch, pension plus contributions to a savings plan, vacation sick leave.. etc|I have yet to find one|keep doing what you are doing. Caring about your employees help them care about the company|5.0
Pharmacy|Benefits include 2 weeks of vacation time in addition to holidays after your first year and it increases over the years, $3000/yr for college tuition in a health care related field.|Those vacation days are necessary because it's a stressful environment.|Give people a pat on the back sometimes, a little bit goes a long way.|3.0
Director-Diablo Service Area|at first the pay seems to be a pro-however the expectation to work more than 50 hours per week and 7 days a week it does not add up. I was specifically told 50 + per week as an exempt|"over worked, must be available Senior Leadership 24x7, Senior Leadership-micromanagers. If you are not ""kaiserized"" there is no room for growth. Favoritism among Senior Leaders--its not what you know it is who you know. Upper education has no value- hire people they like but are not qualified.As a patient the money you pay is wasted on meetings, lunches the union. None of this has proven to improve employee morale. All the data shared is skewed, erase the ""bad"" data to make it look better. It is a terrible place to receive care"|Take sexual harassment training seriously. Managers are not protected from the union and other managers and physicians sexually harass other managers.Senior Leaders have only worked in Kaiser and do not understand the rest of the medical community and how the real world works.|1.0
Great place to work|Great benefits, Culture and people|There is not really any cons to working here||5.0
Intern|Great place to work, lots of opportunity, treat interns very well|Do not have any cons||5.0
Customer service specialist|The salary is excellent compared to what other call centers offer. I believe it is double per hr what the average is.|Call center writes up agents and investigates them if they call out sick, even once a month despite a doctor's note. After four write ups, you are terminated. It is a super fast pace environment. Most agents are stressed and on fmla or leave. Seems like this toxic environment is only at the call center because employees express their happiness at other kp departments. The CC has a rap around kp to be an extremely difficult and stressful place to work. Would not recommend.|Management is cut throats and practices favoritism. Treatment isn't fair across the board. One agent gets written up while another does the same thing and mgnt turns a blind eye. Entire management needs to be replaced.|1.0
Student Nurse at Kaiser Permanente|Compassionate and kind staff, healing environment|Understaffing in certain units, but Kaiser was working to resolve||4.0
physcian|great place to work wonderful support for employees great benefits positive culture its the bestI cant fidn the last year worked on teh this so the one listed is t=wrong|resolving employee conflicts not that great||5.0
LVN|Lots of great people to work with|no cons to report of||5.0
Get out the Contact Center when you can...|Great pay, Kaiser Benefits, UNION coverageTry to keep up the fun atmosphere with themesGive out Kudos to brag about how good some associates are|Rude members, managers are not the best. Some members of Management forget that they started out in the associates position same as we did.|Have compassion for your associates, listening to the associates concerns over some rude members is key|4.0
staff nurse|Co-workers are awesome to work with. Management is very supportive.|I have none to say.||4.0
Amazing Pay and Benefits|the pay, the ratios, the staffing, the BENEFITS|not much, just the commute when I lived in California|listen to the staff, work well with the union|5.0
Not the Best Atmosphere|Pay is really good as the company is union|There is an atmosphere of immature children who work there, it is a revolving door because Kaiser Permanente does not hire professionals and mature adults, but instead young kids who don't know how to behave in a work environment and are not ready for real world.|Hire more mature people who understand what needs to be done to be focused on your members and who know how to effectively communicate as a team.|2.0
Registration clerk|Pay, hours, location, benefits, compensation|None, no support system for clerk||4.0
Operations Specialist|Great place to work as long as you can find a department/group in which you fit well.|The Permanente Medical Group entity pays better than the other Kaiser entities but there is a mindset there that many employees find off-putting. Difficult to explain.||3.0
Resident at Kaiser Hospital Oakland|-Excellent health insurance benefits-Staff will make follow up appointments for you-Integrated medical records makes reconciling medications easier and safer|"-Still a residency, hours are insane and bad for your health-A lot of talk about ""wellness,"" but no major changes have been made to actually improve wellness among residents"||3.0
Radiologic tech|Work environment is great and fun|Late days and machines going down||5.0
Great benefits. Many opportunities.|Benefits. Pay. My manager and coworkers. All departments were very helpful and wanted the best for the patients.|No cons really. Since it is a big company sometimes it was difficult to navigate to go d the person to go to for help. Also different geographical areas operate a little differently.||5.0
Volunteer|I greatly enjoyed working at the hospital. The staff was helpful and kind. It was a rewarding company with good policies and values. I always look for employment within Kaiser first, before other companies.|They are more strict than other companies on their experience and certificate requirements for employment.||5.0
On-call Member Experience|Pay, flexibility, even though I am on-call I am apart of the union, friendly staff, and management.|None so far, Kaiser is a great place to work.||5.0
Don't do it|They pay bi-monthly, direct deposit.|It's a degrading place to work. It's very tribal and cliqueish. If you aren't part of their tribe, you know it, are excluded, and don't get to share in the 'bonus's, promotions, favorite plum jobs, etc.. It is the MOST UNFAIR PLACE i have ever worked. THERE IS NO FAIRNESS. You cannot complain, either, because if you do, they punish you severely. If you file a complaint, with 'dispute resolution', you are marked to be 'fired'. FOR SURE. There is RAMPANT SEXUAL DISCRIMINATION AND HARRASSMENT, but you cannot fight back, because Kaiser Permanente is a private company, and forces everyone into 'FORCED ARBITRATION', where they almost always WIN. You have no rights! If you want to shorten your life span, you can go work there, but everything they tell you up front, is a lie, and you WANT TO BELIEVE THE LIE, so you go there to work, and pretty soon, you believe the lies, and should quit, but you don't. I wasted my time, and my life there. My best advice, DON'T BE TEMPTED!|to management: Don't screw over people just to please upper management! You are spreading bad 'karma', and you'll regret it later.|1.0
Clerk|I like Kaiser hospital and staff|I don’t know in this time|No need advice for me because all Kaiser staff is good|4.0
Its a great company to work for ....|Great benefits, great work / life balance.|As with any large company, the trick is to be sure the division you're working for has good leadership. This is difficult to figure out if you're new to the company, but once you're there, the leadership will be obvious and you can make a decision to either stay or run for the hills.||4.0
Kaiser Permanente|Growing company, work culture is well balanced between life/work, great benefits|Management could be more stable|Create a sense of consistency, invest more in your employees|3.0
Great organization|Very good pay and benefits. Workers are very kind.|There are no cons to the job||4.0
Administrative Assistant|Management are supportive and caring|Parking was sometimes difficult at some facilities|Have more training programs.|5.0
R.N.|Great Pay and benefits|Very large organization that can be out of touch with local issues||4.0
KP|Kaiser Permanente is an awesome place to work|No down sides at this time|No advice to Management, perhaps senior Management|3.0
manager|KP has good benefits and slightly over paid employees. Once you get in here, you can stay here regardless of your performance or skills.|It is highly bureaucratic with lots of red tape, waste of time and resources and no accountability from the management.|Reflect on your priorities and remain true to your mission. Don't just talk but do.|3.0
It's not what you do...it's how you do it|I enjoyed my time with KP. Great people, professional growth and competitive salaries and above average retirement benefits.|Learning to be effective in a bureaucratic environment is a challenge. Too much decision making by consensus delays actions and mutes effectiveness.|We're going single payer and that means one thing...healthdcare rationing. Keep the mission alive.|4.0
Great Company. Poor managers|Large company, Great CEO, good benefits|Poor front line management in some areas. Micromanage employees, rude retaliatory and hostile work environment. Had to leave related to this.|Watch front line supervisors and employee satisfaction much closer. Look at reason staff is leaving by talking to them, not listening to excuses managers give.|2.0
Mission driven|Employees believe in the mission and work hard to support it.|There tends to be a lot of bureaucracy. This is a massive organization and it moves slowly. Decision to action takes a long time.||5.0
Good company|good benefits, tuition reimbursement good|The workload is heavy, but job security||4.0
Their mission is their mantra!|Great people! A company that truly cares about their employees, their members and the communities they serve!|Frequent meetings can be challenging||5.0
Great Place to Work|Excellent benefitsCompetitive salariesSupportive Union-Management partnershipsCaters to individual's work place comfortOpportunities for community service, additional training beyond job description, education, advancement, etc.|work experience is a must, sometimes education does not fully suffice consideration for employment|"Use your management position to inspire employees to flourish and reach maximum potential NOT micromanage and bully as a tactic to reach quotas.Ask ""why?"" questions to improve workplace efficiency.Utilize the entire team's expertise, knowledge and skills to better team's performance."|5.0
Amazing Company Culture|oppurtunity for growth. Great people and amazing company. good pay.|there are no downsides to working at Kaiser Permanente||5.0
Amateur Manager|flexible hours, decent benefits, friendly people|0 Expectations set. No idea of what they need or want from an employee at most times. Disorganized with no structure in terms of tasks. Lack of professionalism and proper training necessary to succeed.|"Try to not waste someones time when you are unaware of what you are looking for, what you need, incapable of setting expectations from the get go, teaching, or training someone to have the necessary knowledge and skills to succeed over all and on various day to day tasks. Many great nice people around, but unfortunately there is a lack of ""system."""|1.0
LVN|The Flu Clinic job is a lot easier than being in a Skilled Nursing Facility, and pays way more. .|Job assignment is only temporary.|Rotation of flu nurses in different flu clinics would be nice.|4.0
Great pay & benefits, but staff vs management mentality|Great benefits, PTO, Sick leave, pension, etc.|There is a reason a job has been posted for a long time. The good jobs are tough to get especially with a union involved. Someone with more seniority will get a promotion simply due to tenure, not because they deserve the position. I was an outside hire and ended working for an extremely difficult doctor who had a lot of turn over in staff and management did absolutely nothing about the issues. Unfortunately, Kaiser lost a loyal, honest and skilled nurse because of one doctor.||3.0
Sr Health Plan Representative|Great benefits. Mobility if you know people|Quality of member base, not all departments are treated the same||3.0
clinical nurse coordinator|enjoyed working in a teaching environment with a different perspective|Effecting change takes a long time since there are so many different committees that need to approve any changes.|Streamline the number of meetings and make them more efficient.|5.0
Micromanaging and Negative Workplace|Location, Benefits, Community Involvement, and Non-Profit|Micromanaging, Negative Workplace, Manager Belittling|There needs to be a committee that reviews Managers on a quarterly basis. It is getting out of hand the workplace stress caused by Micromanaging, frequent reprimanding, and 'shoot first ask questions later' mentality.|2.0
Good job, bad job|The best was salary and benefits for both myself and my family|The middle management were micro managers. Let us do our jobs without us having to give you progress every hour|Take into consideration that you have talented people who know what they are doing and let them do the job. Stop the hate.|4.0
Human Resources Analyst III|The benefits are great and co-workers are great!|Too many changes in a very short periods.||4.0
Pros and cons|Great coworkers and employee benefits|Can be provided unpredictable hours||4.0
Poor Management|Good pay and benefits.|Management plays games to manipulate system. Seen it throughout most departments.|Don't play favorites. Be equal and recognize hard working employees.|3.0
Great place to work|Great benefits, good job security,|Lots of work, little flexibility||5.0
Internship|+ Paid summer internship+ Gained industry experience and direction|- Disorderly at times- Inefficient at times||5.0
Kaiser a great place to work.|Large company, Huge IT department.|Political and Economic impacts to healthcare||4.0
Health Educator|Amazing company with excellent benefits. The team I work with is fantastic. I consider myself very lucky.|It can be challenging to get full-time status|Keep up the great work!|5.0
Service Ambulatory Rep|Kaiser is a great work place for individuals looking to work in healthcare field.|It can be hard moving up the ranks. But the key is to persevere.|Be open to new faces into management positions.|4.0
Patient Support Coordinator|great pay, benefits are amazing|Everything is union based. Even if your more qualified for another position a more senior employee will get it over you. Makes it hard to advance||4.0
The transition from quality care to serving the masses was a painful one and quite scary to witness from the inside.|You don't have to be good at what you do, all you have to do is show up.|You're surrounded by a lot of unqualified staff who always show up for work.|Do your best to enable quality care within your department by supporting the efforts your staff make to safe guard the patient, especially when changes are being implemented that pose a huge danger to the health and well-being of staff and patients alike.|3.0
Credentialing Coordinator|Great benefits and competitive salary.|Management and business operations not always suited towards the line staff/subordinates.|More training in diplomacy, advocacy, PHI and cultural sensitivity.|3.0
Appointment|Great company to work for. Just love the company.|nothing to complain about job is great|keep up the good work|5.0
HR|Good work atmosphere, not really competitive|work load is overwhelming at times||5.0
Admitting Clerk|Amazing department! The job is fulfilling but not too difficult.|You have to start out as on call but it's worth it.||5.0
kaiser|pay is good for hourly|staff are unfriendly for the rn's||2.0
Kaiser Permanente is a great company to work for. They offer great pay and is expanding.|Great place to work. Great workplace culture. Great best practices workplace environment. Up to date technology used in patient care. Compensation is very high and they have great benefits. Union operation. There are opportunities for growth in different areas around pharmacy.|Overly fast paced. If you thought CVS was fast, then check out here. The problem with this system of getting patients out in 5 minutes at the larger facilities is unrealistic. The staff is literally running all day. If Medicine is coming out of the machine, pharmacists may scan the bottle label before seeing the drug just to meet the target goal. If the member is a waiter, Upper management ding you if the member doesn’t check out within that targeted time frame. I have seen some staff members chase members down to get them to check out. It shouldn’t be that way. You can’t force a member to stay in the lobby to check out. The targeted goal in large facilities is just unrealistic.PRN Pharmacist scheduling uses stafferlink to select your availability and the location you would like to work, however one manager has total control and picks where they want you to go.|Each manager over each facility should be granted the authority to schedule their own PRNs when needed. The current system of having one manager responsible for all of the scheduling as well as run their own facility not only creates biases with leadership conducted emotionally, but the scheduling always end up being last minute. This is proof that it is overwhelming for one manager to run a facility and their staff as well as hold a responsibility for scheduling PRNs to other facilities. Most positions stay pending for weeks without approval at some facilities. As a result, the PRN that applied for the position weeks ago, doesn’t get scheduled until the day of and end up getting called in in the middle of the shift. This not only can affect the numbers and target goals but it can also be risky in securing someone to work. This is why each pharmacy manager should the authority to schedule at their given facility. The promise to allow a Pharmacist to work up to 120 hours a month should be upheld if the Pharmacist is willing and available.|4.0
Kaise jo|Can practice medicine the way you want without having to focus on reinbursement and insurance approval|Large company so a little burrocratic becomes a 9-5 job for many doctors||4.0
Nurse Leader|Pay is great but thats about it!!!|I was given an advise by other nurse leaders about KP Santa Clara’s reputation of not being able to keep their nurse managers. Did not believe them and was optimistic of the possibilities. After several days of being there, the toxic environment was very evident. If you are a type of leader who values innovation and out of the box thinking... this is not the place for you.This is a very honest advice to future applicants.|Be respectful and value diversity!!!|1.0
No support from upper management|Staff are amazing and peers go out of their way to help. Benefits are really great.|You're elected tho do the work of 3 people. You can report issues over and over again, but ultimately when the issue becomes a problem, it's still your fault. This position is ultimate middle management. Upper management makes decisions without input from you and then you have to deal with the angry clinics, patients, and frontline staff by yourself. It's a well known fact that supervisors last on average about 18 months.|Support your supervisors, they really want to make things better but you continuously throw them to the wolves.|1.0
Medical assistant|Excellent benefits, great pay, great hours|Sometimes difficult to advance to other position||5.0
Great work environment and team|Love the environment and the teamwork that is essential for success. Coming from the private sector, this was a huge change, but I'm so glad I made the switch. People who are there, all essentially want to do the right thing and improve healthcare for the patient member|Volume of work - with any healthcare org, this is expected but that just goes to show the huge need|Keep investing in the future and the employees, they are your greatest asset. Love that forward thinking and unconventional candidates are being hired to shake things up and bring change to the organization|5.0
Politics, Politics, Politics|Kaiser's benefits are some of the best there are. Between a pension, robust retirement contribution, and the best healthcare plan there is, it forms a pretty strong package.|Many of the people working at Kaiser become experts at saying no or deflecting work to others. Somehow, those people are the ones that always seem to succeed to higher positions. The political environment at Kaiser is where you value your worth. People that schmooze and back slap always end out on top, regardless of their work product.|Promote based on quality of work, rather than connections and appearance.|3.0
Director|Compensation was the best part of the job|Travel tome off needs to be more||5.0
Avoid the Claims Org|In hind site, there were very few positive things from my experience. I My time at KP was two steps backwards, all toward the 1950's.|"Back office operation .... burn and churn. Cultural clash with Oakland based management in terms of work-life balance as in there isn't any. Expect LONG hours and it to be a ""he said she said"" environment due to lack of accountability in upper management. Management is technologically ignorant and it shows in their decision making....i.e. very top down with little input from the people actually doing the job. ""The fact that they are all on the same ERP system in each region, EPIC, seems to be THE ANSWER to all their issues. They don't seem to understand that just because several business units are running the same vendor's software doesn't mean they are the same instance. "" God help us if this is the most innovative healthcare company in America."|Constant turnover is destabilizing. Spend some time in the trenches and learn what it is you're managing.|2.0
Age Discrimination|good place to retire at, if you are numb and lazy|Favoritism, Nepotism, Age Discrimination - rampant here. Incompetent Managers at all levels incl. SVP - with no personal skills...they talk the talk, but don't walk the talk...|The Board of Directors needs to clean house.|1.0
Not hiring new regular employees, even though clearly understaffed. Cost cutting via Temporary positions(>1/3 the staff)|There is a Friendly work environment with managers who are considerate of everyone's concerns. Good place to work if you are a team player.|Upper management prefers to cut costs by hiring >1/3 of its staff through an Agency. They also do not provide basic benefits pertinent to the staff's health care (ex. TB fit testing, vaccinations, etc.)|Hire more regular employees! You obviously need the extra workforce. Don't expect hiring someone as a Temp for years on end and not lose their morale from the daily grind.|3.0
EDI Coordinator/BAOD|Work on my own, had tremendous input to the direction of the department, was able to influence national direction. I loved giving 110%.|Lots of long days and weekends but it’s worth it.|Keep your experienced personnel.|5.0
ETL developer|Very good environment to work.|none to mention, very good place|None, very good|5.0
Teleservice Representative|Great positive company to work for. Kaiser has a reputation for being top-notch because of their focus on excellent customer service. Working there has been a pleasure. I strive each day to be the best that I can be.|There are no cons that I have encountered.||5.0
coordinated procedural scheduler|benefits, friendly atmosphere, room for advancement, learning experience|management in certain departments are only looking out for themselves|listen to the people who make help you make your job easier|4.0
Overall good|Very flexible, good work life balance and great health care coverage|Hard to get things done quickly||4.0
Outside Perspective|Wonderful benefits, unionized, great pay rate, happy coworkers. Great place to work.|Hard to facilitate change in any sort of reasonable time frame.||5.0
Great Employer|Great benefits, great management, great union|Require a lot of experience||5.0
Great company culture|Good compensation and the organization really supports their employees both through professional and personal development opportunities.|None, I really enjoyed working there!||5.0
Great place to work for RNs|Great work-life balance, protected by union, great benefits.|Administration does not post a lot of RN/NP opportunities.||5.0
